Character,Month,Situation Text,Opt 1 Text,Opt 1 Money Change,Opt 1 Happy Change,Opt 1 Rate Change,Opt 1 Response Text,Opt 2 Text,Opt 2 Money Change,Opt 2 Happy Change,Opt 2 Rate Change,Opt 2 Response Text,Opt 3 Text,Opt 3 Happy Change,Opt 3 Money Change,Opt 3 Rate Change,Opt 3 Response Text
Bean,4,"You're looking at your budget, and you see that you are spending almost 1000 dollars on food every month. You realize that food is important, but as logn as your child eats well, and you and your husband eat modestly, everything should work out fine. What do you do?",Keep food the same. You're going to need it to succesfully save enough money for private school. ,0,0,0,Hoorah! Amazing choice. Food is a necessity. You always want to cut down your wants not your needs.,Reduce the food. You need to save any money that you can. Decrease your food spending to only $600/month,300,-2,300,Uh oh! Hopefully the decreased food doesn't impact your thinking. Your happiness goes down.,N/A,0,0,0,N/A
Bean,5,"Shoot! All this time you've been saving, but slowly you've been losing money because you have to spend more time with your kdis and your wife. You decide to work on a side hussle instead, to make a couple $100 for this month.",Do the side hussle. You're going to need all the money that you can get. ,200,-2,0,"Nice! Made some extra cash, but not gonna lie, working so hard took its toll",I can't work on the side! I'm not good enough to be an entrepreneur. I honestly don't have the time or the patience. ,0,2,0,"You may be more happy, but you definitely could have used those couple hundered dollars. ",N/A,0,0,0,N/A
Bean,6,"The private school enrollment is coming up very soon. Looking at your budget, you're not sure if you have enough money to last for a couple months of payments of 300 dollars. ","Option 1: Forgoe this month's IRA contribution. Saving for retirement is important, but does one month really matter?",1500,-3,0,"Not a smart move. Your happiness decreases a lot because this eventually develops into a habit, and you are not well off for your retirement. No matter what, try to fulfill short term goals, while leaving your LONG TERM GOALS untouched. Long term > Short Term. Develop good habits early on to avoid them in the future","Option 2: Don't forget about this month's IRA contribution. You can take a loan if you need so, but retirement savings are really important.",0,2,0,"Good choice! No matter what, try to fulfill short term goals, while leaving your LONG TERM GOALS untouched. Long term > Short Term. Develop good habits early on to avoid them in the future",Option 3: Skip a credit card debt payment instead. ,-2,200,0,Not a good decision. Try to pay your minimum credit card payments as best as possible. You don't want your interest to build up to a point where you don't have enough money to pay it off
Bean,7,"Time to pay! You have saved long and hard for this moment. It's finally time to enroll you child in private school. Go ahead! Reach for the stars! Also, don't forget to book the vacation for this summer!",PAY THE DOWNPAYMENT AND THE FIRST MONTHLY PAYMENT. GREAT JOB SAVING THE MONEY. ,-23000,6,-300,Great Job! You're a financial Wizard. Ka-ching!,I simply don't have the money. I think I'm just going to have to pass on the vacation :(,-16000,-4,-300,"Awe no! You were unable to take the trip. Happiness definitely decreases. Hopefully in the future, you'll be able to save better. ",Just keep him in the regular school. I can't afford anything. I am horrible. ,-8,0,0,You were not able to meet your goal...poor Derrel...
Orma,1,"As you start glancing at your budget, the biggest number that sticks out to you right away is the food. You're spending a lot of money for food, and you're not that big of a fan of Wendy's 4 for 4 anyways.","Keep the food. You're going to need the food to fuel you for the upcoming project at work. Plus, you don't even have the time to cook at home anyways. I guess you could take off work, but then it might be hard to go for that bonus you're really hoping will come through ",0,0,0,Lets see how that works out.... Happiness Stays the same,"Go out to eat less. You might have to leave work earlier so you can actually make a meal for yourself, but it's worth the dollars you save in the long run. ",140,2,140,"Wow! You're losing weight too. Good job, wendy's is no longer gonna get the best of you. Happiness definitely increases",N/A,0,0,0,N/A
Orma,2,"As you predicted, a project has popped up and your boss has specifically requested for you and your main competitor, Sal, to work overtime on this project. You know this will take some of your time, but at the same time, it can give you the boost you need to save up for your wedding. What do you do?","Take the overtime. It can help build a better relationship with you and your boss, and maybe even get that promotion and bonus. (can't choose this if you chose Month 1 option 2)",500,-2,500,"You and your boss are slowly getting closer! Good strategy dude. But even then, its still extra work so your happiness decreases","Reject the offer. You simply don't have time, and maybe you can focus on other options of making money passively.",0,0,0,Time to turn full on entrepreneur. Your happiness stays the same because nothign really happened,"Ask to work from home. You still get the money, but you may not be able to develop the same relationship you could have by working late in office. ",-1,300,300,I feel like Sal is getting closer! I really hope my work is impressing the boss! Your stress causes your happiness to go down.
Orma,3,"One day you're on the phone and your aunt tells you that you should cut a dollar or two by getting rid of the health insurance. You probably won't hurt yourself in the next month or two, and you can always just use your fiancees medical expertise. Just risk it, she says.","She's crazy, don't risk it. ",0,0,0,Good choice! Health insurance is always important,"Do it, why not? What's the WORST that can happen. ",200,0,200,"You're living life on the edge bro, be careful","Your aunt also presents you with another health insurance that is significantly cheaper. However, you don't really trust this place as it looks kind of sketchy. (50/month)",1,150,150,"You're a little worried about the place, but you're very happy about the saved money. So overall, lets see how this plays out."
Orma,4,"Your friends offer you a ride to work, as one of them moved to the neighborhood recently. That being said, you don't want to impose as a hassle.",Take the ride. Any money matters,75,-2,75,Hmm. You're friends are getting kind of annoyed at you that you can never help them but that they always help you. Happiness goes down,Don't. You don't want everyone to think of you as a hassle. ,0,0,0,You get rides occasionally. Good enough for me. Happiness stays the same. ,N/A,0,0,0,N/A
Orma,5,"Promotion Time! You know it's right about the time when the boss is going to be handing out promotions and bonuses, and you can't wait for all your hardwork to pay off. Just to make sure that you tip him over the edge, you want to take to him to a $200 restaraunt.","Take him, gotta make sure that we get that promotion. ",-200,3,0,"Wow, great dinner, you loved the experience. You even filled up on some caviar. Your happiness increases",Just leave it. You're confident in your workign ability. ,0,0,0,"Potentially bad mistake. In corporate scenarios like these, it's always better to do some but kissing",Get him $100 gift basket and call it a day. ,1,-100,0,The gift basket looks really cool. Your happiness increases. You even swipe a chocolate or two from the basket...he won't ever know
Orma,6,"The wedding is coming up really soon, and as such, you want to be prepared for the money that you're going to have to pay. But alas, no matter how hard you try, you can't figure out another way to reduce the money that you're spending. You call up the wedding planner and ask if there's any way to cut the cost. She tells you that there is a similar location for 3,000 dollars cheaper. What do you do?",Take the place. Your fiancee will understand and you will save a lot of money,3000,-3,0,"Dang it, you won't have that perfect wedding. It's okay, as long as you promise to name your kids Sibhitherumeni Selvamanickam Ramadoss, you're sure that your wife will be fine",No way. There's no way we can just ruin our dream wedding ,0,2,0,"Great choice! You've always been looking for this day. Plus, this way, at least you wont have to name your child Sibhitherumeni Selvamanickam Ramadoss like your wife wants you to",N/A,0,0,0,N/A
Orma,7,It's that time! Time to put down the money for that wedding you've been looking forward to so much.,PUT DOWN THE MONEY! You have it and you're ready,4000,3,0,Great Job! You're a financial Wizard. Ka-ching!,I simply don't have the money. I'm going to need to take a loan…,0,-3,0,"Oh no! Guess you're going to have to deal with a loan. This can be annoying, especially because of those pesky interest payments. Well, suxks",N/A,0,0,0,N/A
